wl	OD
418	1.073866314
418.5	1.075258261
419	1.060737268
419.5	1.061731888
420	1.083472006
420.5	1.072844456
421	1.054036806
421.5	1.057904701
422	1.076131833
422.5	1.054820369
423	1.074712784
423.5	1.032850534
424	1.034305525
424.5	1.046391246
425	1.007381771
425.5	1.051566264
426	1.041682683
426.5	1.035502271
427	1.038857495
427.5	1.033954968
428	1.048080147
428.5	1.029122985
429	1.036173466
429.5	1.022002632
430	1.033560848
430.5	1.03257465
431	1.023518987
431.5	1.017255364
432	1.030312118
432.5	1.020128885
433	1.032839543
433.5	1.014206081
434	1.010744963
434.5	1.010656675
435	1.020016657
435.5	1.009828465
436	1.022339472
436.5	1.033976815
437	1.022988706
437.5	0.98595775
438	1.014329365
438.5	1.028258373
439	1.02892167
439.5	1.031393358
440	1.051473715
440.5	1.02674225
441	1.015521575
441.5	1.009067958
442	1.022367235
442.5	1.042738351
443	1.012314387
443.5	1.04682626
444	1.034511645
444.5	1.032407233
445	1.025195066
445.5	1.052111049
446	1.005387415
446.5	1.044389382
447	1.039238417
447.5	1.014101818
448	1.01206496
448.5	1.022022408
449	1.055182184
449.5	1.025837825
450	0.9970548
450.5	1.00388782
451	1.024493284
451.5	1.021325875
452	1.026584602
452.5	1.022376937
453	0.949351066
453.5	0.968884755
454	0.961635128
454.5	0.976393359
455	0.952338105
455.5	0.975550876
456	0.958605848
456.5	0.975797875
457	0.973792156
457.5	0.963653932
458	0.947333715
458.5	0.93701216
459	0.945387904
459.5	0.934547561
460	0.932972392
460.5	0.939337883
461	0.964324687
461.5	0.961464265
462	0.947022101
462.5	0.956564975
463	0.95387706
463.5	0.968572972
464	0.929467566
464.5	0.958926899
465	0.958073317
465.5	0.913422853
466	0.908786794
466.5	0.953555533
467	0.993763451
467.5	0.951994685
468	0.960219452
468.5	0.954168297
469	0.97304632
469.5	0.959753289
470	0.945096472
470.5	0.925560452
471	0.938823057
471.5	0.959032156
472	0.962907792
472.5	0.934286072
473	0.977829631
473.5	1.005022253
474	0.968778838
474.5	0.942811077
475	0.979993028
475.5	0.97731456
476	0.987339386
476.5	0.972402574
477	0.959646635
477.5	0.966982771
478	0.963253756
478.5	0.972114313
479	0.957207374
479.5	0.976468137
480	0.970661722
480.5	0.970410145
481	0.99199291
481.5	0.972537583
482	0.991793465
482.5	0.99306613
483	1.001168991
483.5	0.960651024
484	1.008319798
484.5	0.981043725
485	0.978808327
485.5	0.98083244
486	1.02832783
486.5	1.004940713
487	0.976881107
487.5	0.989436535
488	0.975342897
488.5	0.98044261
489	0.97473669
489.5	0.97332346
490	0.995145981
490.5	1.013938021
491	1.043617355
491.5	1.029188917
492	0.954133282
492.5	0.992553538
493	1.018766184
493.5	0.975931573
494	0.98268928
494.5	0.984194975
495	0.98405741
495.5	1.017124875
496	1.0068837
496.5	1.013815825
497	1.055068615
497.5	1.004809381
498	0.98363261
498.5	1.014278754
499	1.006302151
499.5	0.989906298
500	1.012010067
500.5	1.000862788
501	1.010716804
501.5	1.020302406
502	0.993714519
502.5	0.988136505
503	1.002668332
503.5	0.969893847
504	1.004144202
504.5	0.96909352
505	1.024395264
505.5	0.99701561
506	0.991621823
506.5	1.001350591
507	0.986561184
507.5	1.003421063
508	0.99505951
508.5	1.004907348
509	0.990335923
509.5	1.00696623
510	1.008295929
510.5	1.005349952
511	1.015303612
511.5	0.997314316
512	1.033521333
512.5	1.012666135
513	1.006539458
513.5	1.001341002
514	1.013031182
514.5	1.013842727
515	1.023793627
515.5	1.048574927
516	1.050737196
516.5	1.003771749
517	1.00555327
517.5	1.027268042
518	0.990326739
518.5	1.00906973
519	0.999984308
519.5	1.016267127
520	1.024017959
520.5	1.006662463
521	1.019963233
521.5	0.988177973
522	0.996246409
522.5	1.031497715
523	0.99452522
523.5	0.952700288
524	1.026645749
524.5	1.009100037
525	1.003590861
525.5	0.99200628
526	0.974949985
526.5	0.973970165
527	0.972562909
527.5	0.978423014
528	0.99442759
528.5	1.011950621
529	1.005792542
529.5	0.983567539
530	1.00170359
530.5	0.955818438
531	0.959593977
531.5	0.983169495
532	0.942368507
532.5	0.945298491
533	1.008848895
533.5	0.995757049
534	0.952965584
534.5	0.927864318
535	0.99291864
535.5	0.982143426
536	0.972727169
536.5	0.983130391
537	0.979451231
537.5	0.96005971
538	0.981871149
538.5	0.969211817
539	0.977246109
539.5	0.97466009
540	0.957684582
540.5	0.962035677
541	0.990642222
541.5	0.966896304
542	0.957165301
542.5	0.982474857
543	0.980333596
543.5	0.979742145
544	0.983024574
544.5	0.951837638
545	0.96213437
545.5	0.983484905
546	0.989341926
546.5	0.969853743
547	0.979551548
547.5	0.945909531
548	0.978457611
548.5	0.938494648
549	1.00643288
549.5	0.983524263
550	0.992667451
550.5	0.951086065
551	0.937115423
551.5	0.943657731
552	0.897862575
552.5	0.965919218
553	0.965850408
553.5	0.954018815
554	0.957462954
554.5	0.919402224
555	0.948872252
555.5	0.971949797
556	0.950292306
556.5	0.941005336
557	0.984725039
557.5	0.994551983
558	0.966437092
558.5	0.955619024
559	0.950910386
559.5	0.956750154
560	1.014544468
560.5	1.013215298
561	0.99480965
561.5	0.986081721
562	0.98620373
562.5	0.987219595
563	1.007035647
563.5	0.947244479
564	0.946576964
564.5	0.988736219
565	1.015145925
565.5	1.012140762
566	0.971701709
566.5	1.003151458
567	0.987535936
567.5	0.985245873
568	1.004340171
568.5	1.009509262
569	0.997931916
569.5	0.999225763
570	0.959970557
570.5	1.040420726
571	0.998862718
571.5	0.998713198
572	0.990218034
572.5	0.995560843
573	0.998751738
573.5	0.978881802
574	1.021582042
574.5	1.001880906
575	0.980191594
575.5	1.020452989
576	0.984936237
576.5	1.011310649
577	0.996302274
577.5	0.989884238
578	0.981973841
578.5	1.070755175
579	1.017396293
579.5	1.050515755
580	1.03309654
580.5	1.0283336
581	1.013810678
581.5	1.049765124
582	0.989821156
582.5	1.020494775
583	1.056659583
583.5	1.049485363
584	1.023546392
584.5	1.028865687
585	1.045813901
585.5	1.022851943
586	0.983653914
586.5	1.048284164
587	0.99340603
587.5	1.036247594
588	1.101666382
588.5	1.029544319
589	1.049883705
589.5	1.067762172
590	1.045408656
590.5	1.063106322
591	1.068492745
591.5	1.036693857
592	1.045365362
592.5	1.057169883
593	1.021265204
593.5	1.057079703
594	0.98706791
594.5	1.052243174
595	1.03090379
595.5	1.037466939
596	1.032216896
596.5	1.02204913
597	1.042405923
597.5	1.060174221
598	1.047737922
598.5	1.031556663
599	1.00371044
599.5	0.977073765
600	1.011225597
600.5	1.001031715
601	1.015177705
601.5	1.023939671
602	1.006803711
602.5	0.965864382
603	0.986746189
603.5	1.047465866
604	1.038792321
604.5	1.001942245
605	0.97386319
605.5	1.004712113
606	0.995431977
606.5	1.070439414
607	1.02725848
607.5	0.991611838
608	0.957488047
608.5	1.045266083
609	1.031822853
609.5	0.996444297
610	1.033260758
610.5	1.044437417
611	0.993489149
611.5	1.014921429
612	0.986105482
612.5	1.004590995
613	1.001396074
613.5	1.004185382
614	1.005875478
614.5	1.026296936
615	1.026218659
615.5	0.979438863
616	1.056874125
616.5	1.017700309
617	1.039912707
617.5	1.050584465
618	0.999520738
618.5	0.989523578
619	0.967283671
619.5	0.981074338
620	1.015232884
620.5	1.04019981
621	0.957831744
621.5	0.999314753
622	0.983998129
622.5	1.02128919
623	1.001928411
623.5	0.988283001
624	0.995107501
624.5	0.974780056
625	0.965145895
625.5	0.979712456
626	1.023901943
626.5	1.021616966
627	1.004283749
627.5	1.004798876
628	1.066375903
628.5	1.017033368
629	1.008855915
629.5	0.951574625
630	0.975367383
630.5	1.019678707
631	1.036711709
631.5	1.001204693
632	0.999410029
632.5	0.948347456
633	0.970661727
633.5	1.034187301
634	0.972889845
634.5	0.994912261
635	0.966185689
635.5	1.027082118
636	1.001244123
636.5	1.021533871
637	1.007788436
637.5	1.013350058
638	0.984708567
638.5	1.053786406
639	0.974480357
639.5	0.975618087
640	0.984842438
640.5	0.959461546
641	1.011212462
641.5	1.035503845
642	1.017524326
642.5	0.972940181
643	1.005218252
643.5	1.02293837
644	1.058693903
644.5	1.017135174
645	1
645.5	0.979066108
646	0.958175351
646.5	1.007264361
647	0.97086692
647.5	0.963142302
648	1.002705898
648.5	0.97668339
649	1.021629068
649.5	1.019428539
650	0.988774154
650.5	1.049626003
651	0.98680441
651.5	1.032071452
652	0.992161809
652.5	0.966576237
653	1.115019671
653.5	1.038826141
654	1.072909739
654.5	0.967504468
655	0.980811924
655.5	1.067997079
656	0.939158222
656.5	0.937739974
657	0.935971193
657.5	1.001593727
658	0.995311181
658.5	0.884057325
659	0.991871282
659.5	0.928662474
660	0.976975985
660.5	1.007381917
661	1.011469167
661.5	0.995859255
662	0.942169174
662.5	0.991097586
663	0.98864526
663.5	0.988592001
664	0.912677424
664.5	0.918729104
665	0.926489443
665.5	0.88939572
666	0.934155972
666.5	0.88894234
667	0.972873471
667.5	1.023796233
668	0.862105722
668.5	1.012935294
669	0.953049411
669.5	0.935992141
670	0.922395131
670.5	0.956118501
671	0.948442167
671.5	0.904616521
672	0.932031223
672.5	0.920559365
673	0.936948241
673.5	0.933655965
674	0.91953006
674.5	0.871426971
675	0.917330431
675.5	0.883695636
676	0.941387182
676.5	0.919385764
677	0.798765713
677.5	0.94171939
678	1.012064497
678.5	0.928435256
679	0.949390015
679.5	0.881806275
680	0.929418917
680.5	0.953364248
681	0.944411671
681.5	0.966603593
682	0.913129894
682.5	0.919454111
683	0.888326668
683.5	0.849507162
684	0.83069797
684.5	0.823993551
685	0.876629507
685.5	0.908079334
686	0.803495596
686.5	0.828363079
687	0.801509105
687.5	0.842953378
688	0.837044687
688.5	0.829650767
689	0.875234567
689.5	0.866272781
690	0.797142231
690.5	0.885890271
691	0.83079897
691.5	0.791027505
692	0.801288833
692.5	0.81119678
693	0.82713771
693.5	0.767628764
694	0.825254789
694.5	0.810709922
695	0.800401097
695.5	0.784918041
696	0.861939606
696.5	0.780198481
697	0.784845341
697.5	0.802660751
698	0.814914927
698.5	0.745966588
699	0.805179215
699.5	0.798977583
700	0.826945797
700.5	0.775108901
701	0.808647375
701.5	0.777303843
702	0.80474102
702.5	0.809002814
703	0.756819996
703.5	0.724517432
704	0.777639437
704.5	0.792301884
705	0.727168852
705.5	0.772917355
706	0.819840048
706.5	0.752205774
707	0.783834113
707.5	0.8073417
708	0.759083484
708.5	0.74626582
709	0.745532901
709.5	0.76523945
710	0.758795491
710.5	0.756725203
711	0.739412583
711.5	0.745851152
712	0.72807238
712.5	0.860337994
713	0.815529061
713.5	0.76195595
714	0.741505561
714.5	0.805044256
715	0.723793582
715.5	0.77549797
716	0.733111736
716.5	0.752692513
717	0.783903567
717.5	0.786635553
718	0.801632383
718.5	0.752765838
719	0.777305527
719.5	0.758176613
720	0.753215123
720.5	0.704294176
721	0.731125954
721.5	0.834074752
722	0.751264525
722.5	0.801081219
723	0.685433666
723.5	0.776729663
724	0.744523042
724.5	0.725964854
725	0.734762242
725.5	0.765186276
726	0.668480684
726.5	0.800201382
727	0.74976111
727.5	0.726384187
728	0.869152409
728.5	0.717060201
729	0.69828553
729.5	0.71854182
730	0.817468079
730.5	0.737255019
731	0.745721218
731.5	0.750534004
732	0.763492798
732.5	0.717819411
733	0.71803722
733.5	0.740184024
734	0.774309227
734.5	0.74549799
735	0.778483131
735.5	0.792012866
736	0.806266434
736.5	0.770325939
737	0.77651546
737.5	0.685907532
738	0.66884175
738.5	0.758110021
739	0.716094131
739.5	0.767027831
740	0.723923287
740.5	0.688655876
741	0.72257878
741.5	0.656664592
742	0.677038079
742.5	0.777637624
743	0.774714192
743.5	0.71472477
744	0.741740947
744.5	0.725477562
745	0.773683822
745.5	0.739781674
746	0.744962154
746.5	0.775020073
747	0.770574162
747.5	0.683328894
748	0.754706373
748.5	0.670442451
749	0.766480446
749.5	0.765427975
750	0.710399476
750.5	0.78538106
751	0.79623929
751.5	0.773262307
752	0.71536042
752.5	0.783791525
753	0.724867843
753.5	0.730316505
754	0.74036268
754.5	0.815195505
755	0.721390179
755.5	0.768799409
756	0.797773615
756.5	0.593626832
757	0.695811472
757.5	0.712442098
758	0.734852367
758.5	0.799229362
759	0.679006323
759.5	0.759967475
760	0.781107669
760.5	0.801632344
761	0.680002167
761.5	0.7109789
762	0.653212503
762.5	0.811151488
763	0.714077431
763.5	0.764316697
764	0.730992823
764.5	0.718043911
765	0.755376826
765.5	0.744166753
766	0.740811086
766.5	0.790868609
767	0.767883765
767.5	0.769864385
768	0.729101877
768.5	0.918884244
769	0.850072844
769.5	0.758134154
770	0.677310934
770.5	0.677045141
771	0.780479915
771.5	0.905496067
772	0.702856318
772.5	0.744498898
773	0.854460439
773.5	0.643832134
774	0.713578958
774.5	0.705729586
775	0.829858051
775.5	0.740362667
776	0.801100439
776.5	0.780926322
777	0.732075124
777.5	0.833155169
778	0.803555848
778.5	0.715207199
779	0.590534013
779.5	0.695770794
780	0.708148509
780.5	0.720360056
781	0.755233488
781.5	0.720159316
782	0.653592313
782.5	0.768665531
783	0.742640745
783.5	0.745785445
784	0.817278153
784.5	0.820035636
785	0.739669474
785.5	0.787106093
786	0.785784044
786.5	0.797531334
787	0.78826836
787.5	0.820494249
788	0.794750517
788.5	0.784599007
789	0.794480048
789.5	0.784087029
790	0.870533966
790.5	0.741468233
791	0.773742122
791.5	0.745748146
792	0.852479986
792.5	0.78421328
793	0.820482921
793.5	0.857134662
794	0.766455966
794.5	0.79185251
795	0.750998997
795.5	0.715464206
796	0.75026655
796.5	0.718565538
797	0.928824401
797.5	0.719069475
798	0.678528846
798.5	0.768463983
799	0.78311465
799.5	0.900996969
800	0.814104858
800.5	0.759977289
801	0.791939561
801.5	0.77929866
802	0.82161693
802.5	0.821031254
803	0.818684803
803.5	0.700368702
804	0.814363455
804.5	0.773603647
805	0.978376187
805.5	0.731639148
806	0.794297864
806.5	0.875887724
807	0.799340557
807.5	0.787572312
808	0.992446845
808.5	0.883151661
809	0.860005061
809.5	0.918526964
810	0.763721548
810.5	0.862972738
811	0.869231742
811.5	0.692867416
812	0.741428452
812.5	0.872055771
813	0.903089988
813.5	0.751193557
814	0.727660258
814.5	0.814063798
815	0.670636373
815.5	0.907092711
816	0.714682621
816.5	0.570802319
817	0.680486612
817.5	0.807491366
818	0.925999274
818.5	0.651277992
819	0.878757415
819.5	0.637916039
820	0.765029591
820.5	0.762519454
821	0.828297313
821.5	0.90231379
822	0.705130343
822.5	0.791069951
823	0.812055914
823.5	0.805179164
824	0.774934241
824.5	0.817981987
825	0.816087713
825.5	0.843197426
826	0.816278531
826.5	0.816355611
827	0.823908771
827.5	0.866779457
828	0.798021805
828.5	0.74604529
829	0.809213935
829.5	0.8716815
830	0.829303764
830.5	0.869548873
831	0.784225434
831.5	0.67731094
832	0.80297482
832.5	0.842449895
833	0.847477731
833.5	0.87053398
834	0.74739189
834.5	0.84586331
835	0.851207775
835.5	0.767307367
836	0.818769123
836.5	0.72278346
837	0.861272956
837.5	0.886699582
838	0.796195743
838.5	0.879749174
839	0.880293814
839.5	0.824451289
840	0.769233174
840.5	0.940454193
841	0.824380547
841.5	0.806933299
842	0.877235075
842.5	0.93877905
843	0.882047398
843.5	0.745269998
844	0.711204473
844.5	0.7974564
845	0.738163743
845.5	0.903089986
846	0.954242515
846.5	0.759667824
847	0.745270037
847.5	0.686677835
848	0.818445834
848.5	0.77815125
849	0.817659796
849.5	0.910113767
850	0.800592137
850.5	0.76548869
851	0.743640373
851.5	0.872421159
852	0.84239212
852.5	0.673415916
853	0.611267993
853.5	0.850966963
854	0.84747774
854.5	0.866287319
855	0.810120436
855.5	0.962211469
856	0.795880026
856.5	0.753327678
857	0.7566116
857.5	0.847477746
858	0.799085172
858.5	0.793945533
859	0.861488446
859.5	0.847909019
860	0.871832276
860.5	0.875061253
861	0.790050481
861.5	0.827288478
862	0.695177029
862.5	0.820964368
863	0.725185393
863.5	0.781504888
864	0.757654396
864.5	0.790300118
865	0.893721171
865.5	0.885409359
866	0.85091196
866.5	0.799001372
867	1.011228011
867.5	0.804980819
868	0.867524485
868.5	0.878715944
869	0.892426854
869.5	0.884340556
870	0.800155151
870.5	0.821018601
871	0.931330709
871.5	0.903089987
872	0.842658164
872.5	0.777467848
873	0.849890306
873.5	0.846901341
874	0.946524156
874.5	0.900557647
875	0.85109592
875.5	0.83931505
876	0.955813159
876.5	0.815986202
877	0.821389033
877.5	0.868369402
878	0.872793393
878.5	0.845571381
879	0.970329315
879.5	0.808691987
880	0.818246409
880.5	0.914512305
881	0.891496887
881.5	0.873329262
882	0.88257348
882.5	0.877841854
883	0.9031756
883.5	0.872055753
884	0.84781663
884.5	0.874924019
885	0.868052774
885.5	0.888937004
886	0.933201648
886.5	0.830451192
887	0.87582656
887.5	0.946829496
888	0.911772046
888.5	0.938730333
889	0.803120501
889.5	0.922857694
890	0.920474617
890.5	0.926145349
891	0.788543023
891.5	0.928644103
892	0.931788885
892.5	0.792750769
893	0.876666815
893.5	0.861939588
894	0.867271016
894.5	0.902690628
895	0.80188485
895.5	0.866254376
896	0.868004649
896.5	0.88143655
897	0.915195579
897.5	0.930802952
898	0.868846716
898.5	0.886090831
899	1.019023225
899.5	0.924715978
900	0.917497159
