t	counts	wl0	bth	t0	t1	OD
180	12828.1162					
180.6	12896.1738					
181.2	12823.7715					
181.8	12777.4355					
182.4	13014.9121					
183	12928.0303					
183.6	12985.9512					
184.2	13161.1641					
184.8	13100.3467					
185.4	13111.9307					
186	13266.8701					
186.6	13239.3574					
187.2	13413.1211					
187.8	13143.7871					
188.4	13398.6406					
189	13243.7012					
189.6	13362.4404					
190.2	13572.4043					
190.8	13271.2148					
191.4	13471.042					
192	13565.165					
192.6	13434.8418					
193.2	13776.5771					
193.8	13786.7139					
194.4	13595.5732					
195	13546.3398					
195.6	13995.2305					
196.2	13908.3477					
196.8	13814.2266					
197.4	13673.7676					
198	14035.7754					
198.6	13931.5166					
199.2	14008.2617					
199.8	14137.1367					
200.4	13937.3086					
201	14261.668					
201.6	14160.3057					
202.2	14137.1367					
202.8	14142.9287					
203.4	14389.0947					
204	14225.4678					
204.6	14099.4883					
205.2	14374.6152					
205.8	14368.8223					
206.4	14520.8652					
207	14678.7012					
207.6	14113.9688					
208.2	14499.1455					
208.8	14391.9902					
209.4	14726.4863					
210	14599.0586					
210.6	14487.5605					
211.2	14551.2744					
211.8	14565.7549					
212.4	14768.4795					
213	14700.4219					
213.6	15007.4053					
214.2	14568.6504					
214.8	14916.1787					
215.4	14762.6875					
216	14940.7949					
216.6	14742.4141					
217.2	14826.4004					
217.8	14849.5693					
218.4	14771.375					
219	14929.2109					
219.6	14819.1602					
220.2	15047.9492					
220.8	14936.4512					
221.4	14810.4727					
222	15231.8486					
222.6	15075.4619					
223.2	15226.0576					
223.8	15538.832					
224.4	15308.5947					
225	15304.252					
225.6	15405.6133					
226.2	15378.1006					
226.8	15430.2305					
227.4	15396.9258					
228	15508.4238					
228.6	15272.3945					
229.2	15417.1973					
229.8	15478.0156					
230.4	15511.3203					
231	15411.4053					
231.6	15572.1367					
232.2	15579.377					
232.8	15479.4629					
233.4	15773.4131					
234	15806.7178					
234.6	15895.0488					
235.2	15394.0293					
235.8	15829.8867					
236.4	16064.4678					
237	15831.334					
237.6	15740.1084					
238.2	15763.2773					
238.8	16049.9873					
239.4	15548.9688					
240	15777.7568					
240.6	16145.5576					
241.2	15858.8477					
241.8	15957.3135					
242.4	15979.0342					
243	15782.1016					
243.6	15725.6279					
244.2	16036.9551					
244.8	16000.7549					
245.4	15916.7686					
246	16074.6035					
246.6	16197.6875					
247.2	16475.709					
247.8	16144.1104					
248.4	16002.2021					
249	16204.9268					
249.6	16015.2354					
250.2	16244.0244					
250.8	15999.3057					
251.4	16210.7197					
252	16436.6113					
252.6	16283.1211					
253.2	16481.502					
253.8	16223.751					
254.4	16477.1582					
255	16724.7715					
255.6	16523.4941					
256.2	16356.9707					
256.8	16443.8535					
257.4	16471.3652					
258	16504.6699					
258.6	16390.2754					
259.2	16202.0313					
