wl	counts
420	0.003013006393295
440	0.010150615158934
450	0.0221624961338828
460	0.0573174014402506
470	0.140815487509773
480	0.292596495384799
490	0.501833485459055
500	0.725706003669149
505	0.805233406545102
510	0.893765360802223
515	0.961029415461642
520	0.986856351763395
525	0.99999999999988
530	0.984041982852211
535	0.951512797264202
540	0.91607356393005
545	0.862710831521091
550	0.798192121262252
560	0.669248173345375
570	0.548790941222776
580	0.440410646733155
590	0.343734217729175
600	0.259037226622073
625	0.127036091745782
650	0.0634404465505612
675	0.0343061580260932
700	0.0173667812633117
750	0.00657065800893551
