wl	counts
420	0.00899413512876429
420.5	0.00987102886128422
421	0.0096912224891284
421.5	0.0102467026352578
422	0.0108732897365367
422.5	0.0106504688645403
423	0.0112928111827171
423.5	0.011268919002476
424	0.0105669367777127
424.5	0.0115343507163459
425	0.0122928227344036
425.5	0.0125339407523857
426	0.011845261382857
426.5	0.012133543020936
427	0.0131632810986283
427.5	0.0125727260514379
428	0.0127524238823846
428.5	0.0132496536726253
429	0.0132610838897241
429.5	0.0135647516859882
430	0.013800838581755
430.5	0.0137895588528108
431	0.0141723698390934
431.5	0.0145041392055237
432	0.0150979527211979
432.5	0.015307914947741
433	0.0153080271162913
433.5	0.0162634175350211
434	0.0164786535436035
434.5	0.0161950418747706
435	0.0166983358353927
435.5	0.017291026828485
436	0.0175446465243449
436.5	0.0185187306783627
437	0.018685225638479
437.5	0.018662910142537
438	0.0192044913403647
438.5	0.0191512102558738
439	0.0195266499268282
439.5	0.0200585976505544
440	0.0206714199221465
440.5	0.0209331958341605
441	0.0215298037046649
441.5	0.0219790077767219
442	0.0228532468535513
442.5	0.0215480262576345
443	0.0223342947771644
443.5	0.022869596024315
444	0.0237078740127307
444.5	0.0241354664790519
445	0.0243217450509673
445.5	0.0251744180033388
446	0.0258263051582801
446.5	0.0253642389064374
447	0.0258652282032883
447.5	0.0271400622831222
448	0.0277216876534086
448.5	0.0269891983732249
449	0.0281412516975957
449.5	0.0288777317971463
450	0.0292377490365038
450.5	0.0299416698426054
451	0.0307088046954685
451.5	0.032118547964537
452	0.0314905146702326
452.5	0.0333154054630809
453	0.0342640476320866
453.5	0.0363069900873508
454	0.0364334607788806
454.5	0.0380223128544935
455	0.0391339246730333
455.5	0.0400077891106251
456	0.0421566663908647
456.5	0.0428585321686753
457	0.0448191099829191
457.5	0.0469309461571613
458	0.0485522184781447
458.5	0.0515786019535111
459	0.0539692003204561
459.5	0.0555711488648915
460	0.0572962443402317
460.5	0.0595085229868517
461	0.0627681776111425
461.5	0.0648352891336912
462	0.067750957785487
462.5	0.0718717380901926
463	0.0749231619387964
463.5	0.0784436769899929
464	0.0823483527704255
464.5	0.0852938417010452
465	0.0902127919246977
465.5	0.093749258720277
466	0.0975027439440888
466.5	0.103444632003819
467	0.108515129472642
467.5	0.113474294539806
468	0.116899757440625
468.5	0.12324494724395
469	0.128450451561193
469.5	0.134557693363699
470	0.142441524097897
470.5	0.147597265014514
471	0.15377528461421
471.5	0.159748065529648
472	0.166682622007388
472.5	0.172358266944929
473	0.180823005207895
473.5	0.186721226590442
474	0.195190575297055
474.5	0.202611428944739
475	0.209944587434027
475.5	0.218148658449257
476	0.226681053135823
476.5	0.238402766162019
477	0.241866637955486
477.5	0.254078191784932
478	0.260715147241033
478.5	0.270283785874218
479	0.278880737002809
479.5	0.287089893736389
480	0.29698701508587
480.5	0.307313347625926
481	0.319553376083626
481.5	0.326508708855534
482	0.333828379216161
482.5	0.349392153417409
483	0.356275323491867
483.5	0.367513713767884
484	0.378433113800445
484.5	0.388226098835114
485	0.398207100124141
485.5	0.407845540892747
486	0.421455745395918
486.5	0.431486293375188
487	0.443680567109309
487.5	0.45691278685014
488	0.466374883032198
488.5	0.476611749527292
489	0.485521242602828
489.5	0.499262376450899
490	0.509401238697949
490.5	0.520637040540504
491	0.534979325271385
491.5	0.542560446943494
492	0.555704926881731
492.5	0.570168921930391
493	0.577826430757294
493.5	0.593662032325972
494	0.603229262806709
494.5	0.614103429894768
495	0.627424117696693
495.5	0.635237306426473
496	0.644606757524557
496.5	0.662716577380749
497	0.668724951814028
497.5	0.68202252322168
498	0.691320582664836
498.5	0.704831828650207
499	0.717391007326411
499.5	0.719191326510112
500	0.731309711616331
500.5	0.742208039586904
501	0.75250753166241
501.5	0.76168674173688
502	0.770491464177941
502.5	0.788864778747814
503	0.793609951147341
503.5	0.804541475800314
504	0.812273464172584
504.5	0.814098034457286
505	0.829506695178933
505.5	0.83691687700285
506	0.843657467456611
506.5	0.860094674720877
507	0.860365162762333
507.5	0.869779846804919
508	0.876753958973172
508.5	0.88292396307895
509	0.889468817552254
509.5	0.899282965797484
510	0.906093858773731
510.5	0.909952813127716
511	0.913662718172481
511.5	0.920861177672305
512	0.930305559408185
512.5	0.932808982874188
513	0.937237715330134
513.5	0.944844993852494
514	0.954212081598286
514.5	0.955181223453443
515	0.959704499301914
515.5	0.958553339326569
516	0.968807460804626
516.5	0.974043109257153
517	0.969677780864841
517.5	0.982542685806925
518	0.972853155332943
518.5	0.980635104284385
519	0.98549662504736
519.5	0.983111731930037
520	0.990858802600912
520.5	0.992246204796632
521	0.992865391935889
521.5	0.993810649144513
522	0.993618269849778
522.5	0.993585298248549
523	1.00147769508845
523.5	0.993425444113052
524	1
524.5	0.998017388320304
525	0.997189294231761
525.5	0.99806660854984
526	0.995644660747243
526.5	1.00366948344281
527	0.993697745825098
527.5	0.996511167448783
528	0.995492340320349
528.5	0.993361863332797
529	0.993371033995367
529.5	0.993698741018703
530	0.988344478509622
530.5	0.986617361861175
531	0.97376326453563
531.5	0.978623604087504
532	0.974192425501481
532.5	0.973930205937738
533	0.971939056054959
533.5	0.972776134788575
534	0.961182743141981
534.5	0.966851189202414
535	0.963201507322095
535.5	0.959354358568516
536	0.943656407156882
536.5	0.943119151423897
537	0.939842685747399
537.5	0.932659117878246
538	0.931968090781896
538.5	0.926843983070622
539	0.924602690810051
539.5	0.917418672778557
540	0.915421164817752
540.5	0.911271285610073
541	0.905741715561986
541.5	0.891572231784348
542	0.894456865556078
542.5	0.886436587267951
543	0.876784023120933
543.5	0.874902231064089
544	0.866692119130664
544.5	0.859484849842213
545	0.849694589033778
545.5	0.845899214529961
546	0.844742781888682
546.5	0.834178386947048
547	0.828318926030217
547.5	0.824638813547669
548	0.816096813847678
548.5	0.810901131254243
549	0.807931390757579
549.5	0.799668053637922
550	0.787526870227349
550.5	0.789867347947066
551	0.775048256658906
551.5	0.774533075622214
552	0.768707585220568
552.5	0.761293452385027
553	0.755155646977781
553.5	0.746395794747104
554	0.741275680831477
554.5	0.736510526432491
555	0.730064357961355
555.5	0.721925410741513
556	0.7163575564325
556.5	0.709578817510586
557	0.696842977088002
557.5	0.692758721132689
558	0.687508314052
558.5	0.673670129295553
559	0.671605634574135
559.5	0.663769647540001
560	0.660438499230185
560.5	0.659141826138226
561	0.646865942808102
561.5	0.639760447412259
562	0.636740070162823
562.5	0.626079260492652
563	0.62008814290251
563.5	0.616442863126243
564	0.606499783364024
564.5	0.59869036334872
565	0.59366725569727
565.5	0.584945187340453
566	0.582815250733727
566.5	0.572628703831573
567	0.569637482964518
567.5	0.568957673653285
568	0.557891313287989
568.5	0.551472301511147
569	0.544848425875302
569.5	0.542589512177301
570	0.535329016772528
570.5	0.525165495116073
571	0.517918033027183
571.5	0.517633557400089
572	0.51098992670613
572.5	0.4987399295708
573	0.493448785588495
573.5	0.492209697932884
574	0.478810080116992
574.5	0.476411380781089
575	0.469090166475242
575.5	0.469256519131974
576	0.459285645565536
576.5	0.451468914132538
577	0.449511960776202
577.5	0.448808082661116
578	0.439488361480509
578.5	0.433250962305712
579	0.426462503969613
579.5	0.422169341995102
580	0.420103303328463
580.5	0.414133122937624
581	0.405934001847972
581.5	0.406447411998099
582	0.396379941405977
582.5	0.392821767112642
583	0.390239547565269
583.5	0.383536151309905
584	0.373203188176192
584.5	0.37301017642197
585	0.363441152732567
585.5	0.361825125732946
586	0.362892341592709
