t	counts	t0	t1
0	5.66825056	30	330
0.6	5.66825056
1.2	11.3365011
1.8	11.3365011
2.4	5.66825056
3	0
3.6	5.66825056
4.2	1.88941681
4.8	13.2259169
5.4	9.44708443
6	3.77883363
6.6	13.2259169
7.2	13.2259169
7.8	9.44708443
8.4	7.55766726
9	5.66825056
9.6	15.1153345
10.2	7.55766726
10.8	5.66825056
11.4	5.66825056
12	11.3365011
12.6	5.66825056
13.2	1.88941681
13.8	15.1153345
14.4	11.3365011
15	11.3365011
15.6	5.66825056
16.2	5.66825056
16.8	13.2259169
17.4	11.3365011
18	9.44708443
18.6	3.77883363
19.2	7.55766726
19.8	7.55766726
20.4	7.55766726
21	5.66825056
21.6	9.44708443
22.2	11.3365011
22.8	13.2259169
23.4	3.77883363
24	3.77883363
24.6	3.77883363
25.2	5.66825056
25.8	7.55766726
26.4	7.55766726
27	9.44708443
27.6	7.55766726
28.2	11.3365011
28.8	9.44708443
29.4	0
30	522231.031
30.6	522748.719
31.2	521157.813
31.8	522308.5
32.4	521777.563
33	520020.406
33.6	520181
34.2	520863.094
34.8	520375.594
35.4	520861.188
36	521395.906
36.6	522748.719
37.2	520893.313
37.8	522612.688
38.4	523838.906
39	522644.813
39.6	520141.344
40.2	521082.25
40.8	521992.969
41.4	520829.094
42	519651.969
42.6	521989.188
43.2	521046.375
43.8	522580.563
44.4	522586.219
45	521894.719
45.6	521573.5
46.2	519385.531
46.8	522650.469
47.4	521377
48	523213.531
48.6	521080.375
49.2	522863.969
49.8	521930.594
50.4	521087.938
51	521983.531
51.6	520470.063
52.2	521254.188
52.8	520872.531
53.4	521172.969
54	520488.969
54.6	522727.938
55.2	520876.313
55.8	521953.281
56.4	521781.344
57	521169.188
57.6	520781.844
58.2	521307.094
58.8	519408.219
59.4	520041.156
60	519931.594
60.6	519737
61.2	520980.219
61.8	520594.781
62.4	520702.5
63	520793.156
63.6	520320.813
64.2	521732.219
64.8	521295.781
65.4	521437.469
66	520473.844
66.6	522153.563
67.2	521675.531
67.8	520933
68.4	521048.25
69	521103.031
69.6	521257.969
70.2	522261.25
70.8	521669.875
71.4	522469.094
72	522646.688
72.6	522718.5
73.2	520190.438
73.8	520770.5
74.4	521029.344
75	520942.438
75.6	520156.438
76.2	519738.875
76.8	519765.344
77.4	521749.219
78	518595.781
78.6	521378.875
79.2	520232.031
79.8	522442.625
80.4	521044.469
81	518841.406
81.6	521080.375
82.2	520834.75
82.8	521943.813
83.4	520961.344
84	522159.219
84.6	521702
85.2	519317.531
85.8	520039.281
86.4	520154.563
87	520793.156
87.6	520727.031
88.2	520084.656
88.8	519699.188
89.4	519268.438
90	521736
90.6	520764.844
91.2	519980.719
91.8	520135.656
92.4	520999.125
93	519546.156
93.6	519508.344
94.2	521208.844
94.8	519933.5
95.4	521214.5
96	518695.906
96.6	522159.219
97.2	522134.656
97.8	521543.25
98.4	520150.781
99	520821.5
99.6	520657.125
100.2	519570.719
100.8	518384.156
101.4	519958.063
102	518418.156
102.6	518250
103.2	519990.188
103.8	519234.406
104.4	519100.25
105	522189.438
105.6	520328.375
106.2	518533.438
106.8	519313.75
107.4	520317.031
108	521626.406
108.6	519650.094
109.2	519066.25
109.8	519311.875
110.4	518299.156
111	520409.625
111.6	523238.094
112.2	520815.844
112.8	518758.25
113.4	519752.094
114	521787
114.6	520634.438
115.2	519752.094
115.8	519716.219
116.4	520870.625
117	519387.469
117.6	518871.625
118.2	520736.5
118.8	519234.406
119.4	520050.625
120	519104.031
120.6	520449.281
121.2	520715.719
121.8	520651.469
122.4	520978.313
123	522353.813
123.6	519757.75
124.2	518743.156
124.8	519763.469
125.4	521182.406
126	521133.25
126.6	519952.406
127.2	520426.625
127.8	519808.781
128.4	519194.719
129	522465.313
129.6	518969.875
130.2	519638.75
130.8	520366.156
131.4	521684.969
132	520339.719
132.6	519884.344
133.2	522166.75
133.8	518709.156
134.4	519287.313
135	522482.313
135.6	518941.531
136.2	519729.406
136.8	521138.938
137.4	518773.406
138	520562.656
138.6	521926.844
139.2	519327
139.8	520934.875
140.4	519285.406
141	520352.938
141.6	521237.188
142.2	522538.969
142.8	521375.125
143.4	522591.906
144	521768.125
144.6	520734.625
145.2	522085.531
145.8	521622.625
146.4	518856.531
147	519336.438
147.6	519476.25
148.2	521025.563
148.8	519789.875
149.4	518079.969
150	521539.469
150.6	519848.469
151.2	519551.844
151.8	520751.594
152.4	517600.063
153	518444.625
153.6	519589.625
154.2	520434.188
154.8	520668.5
155.4	521038.781
156	521794.563
156.6	520432.281
157.2	519378
157.8	517713.438
158.4	519319.406
159	517889.156
159.6	519859.813
160.2	521458.25
160.8	520396.406
161.4	520033.625
162	520906.531
162.6	520145.125
163.2	520717.594
163.8	520581.563
164.4	520683.594
165	520271.688
165.6	521945.719
166.2	520313.25
166.8	521375.125
167.4	523655.625
168	525698.125
168.6	522780.844
169.2	524010.844
169.8	522941.438
170.4	523304.219
171	522255.563
171.6	522453.969
172.2	521996.719
172.8	523708.563
173.4	522452.094
174	521885.25
174.6	521363.781
175.2	524027.844
175.8	521590.5
176.4	523018.906
177	521622.625
177.6	523228.625
178.2	523995.75
178.8	522248.031
179.4	523761.438
180	523085.031
180.6	522846.969
181.2	521541.375
181.8	522351.938
182.4	522590
183	519028.469
183.6	521615.063
184.2	520742.156
184.8	523313.656
185.4	522907.438
186	519680.313
186.6	523005.656
187.2	520128.094
187.8	520596.656
188.4	522040.188
189	522535.219
189.6	525435.5
190.2	521964.625
190.8	521726.531
191.4	523404.344
192	523020.813
